Regular, Reg, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0,60,0
Mitko Chevtyrtyk, M Chetv, 8, 0, 10, 0, 16, 0, 18, 0, 120, 105,0,15
Mitko T-W, M T-W, 15, 0, 18, 0, 0, 0, 0, 0, 180, 0,0,0
Mitko Monday, Mitko Mon, 14, 0, 18, 0, 0, 0, 0, 0, 240, 0,0,0
Mitko Fridat, Mitko Fr, 8, 0, 15, 0, 0, 0, 0, 0, 390, 0,30,0
